iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,t_opt,kl_dist,surr_improvement,running_score,num_samples,time_VF,VF_error_before,VF_error_after
58,2.5981454849243164,-3321.0809333531784,2.9696945870060225,-3314.5042502251845,-3327.276450246295,3.3143885135650635,0.009589816,0.002141975,-3331.7383330344146,12000,0.8557183742523193,2.6718151308242647e-06,2.9339896063399376e-06
59,2.5905814170837402,-3320.553869029688,3.6552055568049164,-3311.5849139329766,-3329.384274537287,3.2891643047332764,0.0035102402,0.001668828,-3330.619886633942,12000,0.8947658538818359,3.7249759858355556e-06,3.4915876267688107e-06
60,2.540126085281372,-3321.1230480618815,3.4285920340072233,-3308.7957894014785,-3328.0986507767266,3.182577133178711,0.0031008744,0.0015096555,-3329.670202776736,12000,0.9030277729034424,2.8736714117412142e-06,2.933061303627605e-06
61,2.6339197158813477,-3320.933928188635,3.509591822912116,-3314.6943767967396,-3329.9415658719877,3.279827833175659,0.0040087365,0.00065202586,-3328.796575317926,12000,0.9180598258972168,3.0522935250717205e-06,3.872473368973038e-06
62,2.5703248977661133,-3320.848425594898,3.4963259005126295,-3313.536046838661,-3330.4013353049954,3.296316385269165,0.0056815376,0.0006766983,-3328.0017603456236,12000,0.9487018585205078,3.481378561900961e-06,3.2382129212525708e-06
63,2.5687859058380127,-3320.386604563632,3.9094014553884064,-3310.4495211550316,-3328.0667208557666,3.2728612422943115,0.004542027,0.0008011291,-3327.2402447674244,12000,0.982489824295044,3.5458243120608954e-06,3.5729090601278753e-06
64,2.6192872524261475,-3320.385533753654,3.7353097459808144,-3310.166144436933,-3328.0877427818755,3.283094644546509,0.0050453423,0.00072679564,-3326.5547736660474,12000,1.0277972221374512,3.092633761717291e-06,2.846584547950763e-06
65,2.635554075241089,-3320.865535801629,3.696761650825338,-3313.6685892235287,-3330.3176251353702,3.2883665561676025,0.0039574145,0.00023897727,-3325.9858498796057,12000,1.1098551750183105,3.0431636671102993e-06,4.483328819499853e-06
66,2.602752208709717,-3320.873571710645,3.214204285019064,-3314.2421672225373,-3330.863469196228,3.3068900108337402,0.0030192668,0.0005472373,-3325.47462206271,12000,1.2050623893737793,4.243558261345296e-06,3.7161518132582854e-06
67,2.6335396766662598,-3321.1389359221403,3.60440754244023,-3311.4463770687817,-3327.574205670015,3.313321352005005,0.0038768863,0.0016785364,-3325.0410534486527,12000,1.1737287044525146,4.151333724904195e-06,3.1691260907008226e-06
